[91m===== ERROR: some of the differences are larger than the tolerances.[0m
==========================================  Summary statistics  ==========================================
                                Variable          N      AvgDiff      MinDiff      MaxDiff        StDev
                          cfadLidarsr355          2   0.0000e+00  -1.0000e+00   1.0000e+00   1.0000e+00
                                  dbze94        101  -1.5700e-03  -1.7621e-02   6.9874e-03   4.5170e-03
                              cfadDbze94          2  -1.0101e-02  -1.1111e-01   9.0909e-02   1.0101e-01
                             boxtauisccp          9   1.4586e-03   1.1906e-03   1.9176e-03   2.5472e-04
                                cltmodis          1   5.0000e-01   5.0000e-01   5.0000e-01   0.0000e+00
                                clwmodis          1   5.0000e-01   5.0000e-01   5.0000e-01   0.0000e+00
                                cllmodis          1   5.0000e-01   5.0000e-01   5.0000e-01   0.0000e+00
                               tautmodis          1  -2.5314e-01  -2.5314e-01  -2.5314e-01   0.0000e+00
                               tauwmodis          1  -2.5314e-01  -2.5314e-01  -2.5314e-01   0.0000e+00
                            tautlogmodis          1  -2.3765e-01  -2.3765e-01  -2.3765e-01   0.0000e+00
                            tauwlogmodis          1  -2.3765e-01  -2.3765e-01  -2.3765e-01   0.0000e+00
                            reffclwmodis          1  -1.4156e-01  -1.4156e-01  -1.4156e-01   0.0000e+00
                                pctmodis          1   8.5947e-03   8.5947e-03   8.5947e-03   0.0000e+00
                                lwpmodis          1  -2.8720e-01  -2.8720e-01  -2.8720e-01   0.0000e+00
                                 clmodis          1   1.0000e+00   1.0000e+00   1.0000e+00   0.0000e+00
      modis_Optical_Thickness_vs_ReffLIQ          1   1.0000e+00   1.0000e+00   1.0000e+00   0.0000e+00
                                 npdfcld          1  -7.2727e-01  -7.2727e-01  -7.2727e-01   0.0000e+00
                                 npdfdrz          1  -1.0000e+00  -1.0000e+00  -1.0000e+00   0.0000e+00
                                 ncfodd2          4   2.5000e-01  -1.0000e+00   2.0000e+00   1.2990e+00
==========================================================================================================
[91m===== ERROR: the test is exiting with an error, please review the output above.[0m
