==========================================  Summary statistics  ==========================================
                                Variable          N      AvgDiff      MinDiff      MaxDiff        StDev
                             atb532_perp          2  -7.6571e-04  -7.6571e-04  -7.6571e-04   0.0000e+00
                          cfadLidarsr355          2   0.0000e+00  -1.0000e+00   1.0000e+00   1.0000e+00
                                  dbze94        146  -8.4773e-04  -1.8231e-02   7.1885e-03   3.1420e-03
                             boxtauisccp         14   7.7717e-04  -1.3064e-03   1.3325e-03   8.7738e-04
                                cltmodis          1   5.0000e-01   5.0000e-01   5.0000e-01   0.0000e+00
                                clwmodis          1   5.0000e-01   5.0000e-01   5.0000e-01   0.0000e+00
                                cllmodis          1   5.0000e-01   5.0000e-01   5.0000e-01   0.0000e+00
                               tautmodis          1  -2.5314e-01  -2.5314e-01  -2.5314e-01   0.0000e+00
                               tauwmodis          1  -2.5314e-01  -2.5314e-01  -2.5314e-01   0.0000e+00
                            tautlogmodis          1  -2.3765e-01  -2.3765e-01  -2.3765e-01   0.0000e+00
                            tauwlogmodis          1  -2.3765e-01  -2.3765e-01  -2.3765e-01   0.0000e+00
                            reffclwmodis          1  -1.4156e-01  -1.4156e-01  -1.4156e-01   0.0000e+00
                                pctmodis          1   8.5947e-03   8.5947e-03   8.5947e-03   0.0000e+00
                                lwpmodis          1  -2.8720e-01  -2.8720e-01  -2.8720e-01   0.0000e+00
                                 clmodis          1   1.0000e+00   1.0000e+00   1.0000e+00   0.0000e+00
      modis_Optical_Thickness_vs_ReffLIQ          1   1.0000e+00   1.0000e+00   1.0000e+00   0.0000e+00
                                 npdfcld          1  -7.2727e-01  -7.2727e-01  -7.2727e-01   0.0000e+00
                                 npdfdrz          1  -1.0000e+00  -1.0000e+00  -1.0000e+00   0.0000e+00
                                 ncfodd2          4   2.5000e-01  -1.0000e+00   2.0000e+00   1.2990e+00
==========================================================================================================
