==========================================  Summary statistics  ==========================================
                                Variable          N      AvgDiff      MinDiff      MaxDiff        StDev
                             atb532_perp    1408320         -inf  -3.4025e+38  -1.0000e+00 --
                                  atb532    1408320         -inf  -3.4024e+38  -1.0000e+00 --
                            clcalipsoice      11624   1.0000e+00   1.0000e+00   1.0000e+00   0.0000e+00
                            clcalipsoliq       5704   1.0000e+00   1.0000e+00   1.0000e+00   0.0000e+00
                             clcalipsoun       4944   1.0000e+00   1.0000e+00   1.0000e+00   0.0000e+00
                           cllcalipsoice       1339  -1.1739e+28  -4.0000e+29   5.0000e+00   4.8859e+28
                           clmcalipsoice       1342  -1.3455e+28  -4.0000e+29   1.0000e+00   4.1580e+28
                           clhcalipsoice       1342  -1.9001e+28  -2.1111e+29   2.0000e+00   3.9296e+28
                           cltcalipsoice       1468  -2.2985e+28  -3.9000e+29   3.4444e+00   4.6567e+28
                           cllcalipsoliq       1386  -2.8130e+28  -4.0000e+29   1.5000e+00   4.9201e+28
                           clmcalipsoliq       1306  -9.3482e+27  -4.0000e+29   1.2500e+00   4.0513e+28
                           clhcalipsoliq       1304  -1.1611e+27  -2.1250e+29  -1.0000e+00   1.4337e+28
                           cltcalipsoliq       1438  -3.2527e+28  -3.8571e+29   1.5000e+00   5.3963e+28
                            cllcalipsoun       1373  -1.4817e+28  -4.0000e+29   1.0000e+00   4.5201e+28
                            clmcalipsoun       1310  -7.4056e+27  -4.0000e+29   1.0000e+00   3.5719e+28
                            clhcalipsoun       1315  -1.4890e+27  -2.4000e+29   3.5714e+00   1.6629e+28
                            cltcalipsoun       1431  -1.8421e+28  -4.1000e+29   6.0714e+00   5.2586e+28
                            clcalipsotmp      58862   1.0000e+00   1.0000e+00   1.0000e+00   0.0000e+00
                         clcalipsotmpice      57276   1.0000e+00   1.0000e+00   1.0000e+00   0.0000e+00
                         clcalipsotmpliq      52397   1.0000e+00   1.0000e+00   1.0000e+00   0.0000e+00
                          clcalipsotmpun      51686   1.0000e+00   1.0000e+00   1.0000e+00   0.0000e+00
                          cfadLidarsr532     132706   1.0000e+00   1.0000e+00   1.0000e+00   0.0000e+00
                               clcalipso      13997   1.0000e+00   1.0000e+00   1.0000e+00   0.0000e+00
                              cllcalipso       1335  -2.8304e+28  -2.0000e+29   1.0000e+00   4.8122e+28
                              clmcalipso       1326  -1.5697e+28  -2.0000e+29   2.1429e+00   4.1217e+28
                              clhcalipso       1332  -1.8808e+28  -2.0000e+29   2.0000e+00   3.8729e+28
                              cltcalipso       1368  -2.3858e+28  -2.0000e+29  -5.0000e-02   3.9008e+28
                         lidarBetaMol532      70416         -inf  -1.1963e+37  -6.5323e+35 --
                         clopaquecalipso       1372  -2.8823e+28  -2.0000e+29  -5.0000e-02   4.9995e+28
                           clthincalipso       1431  -2.6066e+28  -2.0000e+29   1.9000e+01   5.0971e+28
                        clzopaquecalipso       1104  -6.6848e-01  -1.0000e+00   1.0000e+00   7.4373e-01
                         clcalipsoopaque      10834   1.0000e+00   1.0000e+00   1.0000e+00   0.0000e+00
                           clcalipsothin       8783   1.0000e+00   1.0000e+00   1.0000e+00   0.0000e+00
                        clcalipsozopaque       2593   1.0000e+00   1.0000e+00   1.0000e+00   0.0000e+00
                        clcalipsoopacity      23240   1.0000e+00   1.0000e+00   1.0000e+00   0.0000e+00
                            clopaquetemp       1104  -3.2855e+27  -5.3312e+27   2.7750e-02   1.5138e+27
                              clthintemp        893  -2.9293e+27  -5.4277e+27   1.8651e-01   1.9873e+27
                           clzopaquetemp       1103  -3.1808e+27  -5.2073e+27   1.8162e-02   1.4498e+27
                              clthinemis        782  -5.7409e+30  -9.4382e+31   3.5952e+00   1.0197e+31
                           cllgrLidar532         86  -1.1628e+27  -1.0000e+28   1.5000e+00   3.2056e+27
                           clmgrLidar532        142  -1.7061e-01  -1.0000e+00   5.0000e+00   8.1895e-01
                           clhgrLidar532         70  -2.5050e-01  -1.0000e+00   2.0000e+00   6.9746e-01
                           cltgrLidar532        100  -4.4272e-01  -1.0000e+00  -5.0000e-02   3.5945e-01
                            clgrLidar532      21029   1.0000e+00   1.0000e+00   1.0000e+00   0.0000e+00
                        cfadLidarsr532gr     148062   1.0000e+00   1.0000e+00   1.0000e+00   0.0000e+00
                                cllatlid       1329  -2.8447e+28  -2.0000e+29   2.5000e-01   4.8484e+28
                                clmatlid       1329  -1.5813e+28  -2.0000e+29   3.0000e+00   4.2010e+28
                                clhatlid       1315  -1.8882e+28  -2.0000e+29   1.0000e+00   3.8879e+28
                                cltatlid       1359  -2.3512e+28  -2.0000e+29  -5.0000e-02   3.8791e+28
                                 clatlid      13369   1.0000e+00   1.0000e+00   1.0000e+00   0.0000e+00
                         lidarBetaMol355      69660         -inf  -2.3256e+36  -2.8568e+35 --
                          cfadLidarsr355     130176   1.0000e+00   1.0000e+00   1.0000e+00   0.0000e+00
                                  atb355    1393200         -inf  -3.4028e+38  -1.0000e+00 --
                         parasolPix_refl     129000  -1.3121e+31  -3.3333e+31  -1.0000e+30   1.1578e+31
                        parasolGrid_refl       5195  -6.7135e+30  -3.3333e+31  -1.0000e+00   8.1009e+30
                                  dbze94     308852   1.7920e+28  -1.1848e+33   2.8321e+33   9.0016e+30
                              cfadDbze94      42574   1.0000e+00   1.0000e+00   1.0000e+00   0.0000e+00
                                cltisccp        698  -2.8266e+28  -2.0000e+29  -1.0000e+00   4.4917e+28
                             meantbisccp       1290  -3.7056e+27  -5.0248e+27  -3.2535e+27   3.3198e+26
