==========================================  Summary statistics  ==========================================
                                Variable          N      AvgDiff      MinDiff      MaxDiff        StDev
                             atb532_perp    1408320         -inf  -3.4025e+38  -1.0000e+00 --
                                  atb532    1408320         -inf  -3.4024e+38  -1.0000e+00 --
                            clcalipsoice      51551  -5.3293e+27  -2.0000e+29  -1.0000e+00   2.4351e+28
                            clcalipsoliq      51551  -1.8838e+27  -2.0000e+29  -1.0000e+00   1.5869e+28
                             clcalipsoun      51551  -9.4021e+26  -2.0000e+29  -1.0000e+00   1.1963e+28
                           cllcalipsoice       1252  -8.6748e+27  -4.0000e+29  -1.0000e+00   3.4498e+28
                           clmcalipsoice       1289  -1.4410e+28  -4.0000e+29  -1.0000e+00   4.3399e+28
                           clhcalipsoice       1304  -2.0076e+28  -4.0000e+29  -1.0000e+00   4.3053e+28
                           cltcalipsoice       1304  -2.5326e+28  -4.0000e+29  -1.0000e+00   5.0149e+28
                           cllcalipsoliq       1252  -3.1894e+28  -4.0000e+29  -1.0000e+00   5.8574e+28
                           clmcalipsoliq       1289  -8.4070e+27  -4.0000e+29  -1.0000e+00   4.1495e+28
                           clhcalipsoliq       1304  -9.5354e+26  -2.2222e+29  -1.0000e+00   1.3323e+28
                           cltcalipsoliq       1304  -3.5946e+28  -4.0000e+29  -1.0000e+00   6.0367e+28
                            cllcalipsoun       1252  -1.9827e+28  -4.0000e+29  -1.0000e+00   6.2863e+28
                            clmcalipsoun       1289  -1.1334e+28  -4.0000e+29  -1.0000e+00   5.0504e+28
                            clhcalipsoun       1304  -4.5082e+27  -4.0000e+29  -1.0000e+00   3.0424e+28
                            cltcalipsoun       1304  -2.9009e+28  -4.0000e+29  -1.0000e+00   7.1528e+28
                            clcalipsotmp      31766  -1.6027e+28  -3.2000e+30  -1.0000e+00   7.9702e+28
                         clcalipsotmpice      31766  -1.2647e+28  -3.2000e+30  -1.0000e+00   7.6111e+28
                         clcalipsotmpliq      31766  -3.8311e+27  -8.0000e+29  -1.0000e+00   2.9383e+28
                          clcalipsotmpun      31766  -2.0326e+27  -7.8000e+29  -1.0000e+00   2.2592e+28
                          cfadLidarsr532     782400  -3.3818e+29  -2.0000e+31  -1.0000e+00   1.9672e+30
                               clcalipso      51551  -7.1488e+27  -2.0000e+29  -1.0000e+00   2.8350e+28
                              cllcalipso       1252  -3.0302e+28  -2.0000e+29  -1.0000e+00   4.9427e+28
                              clmcalipso       1289  -1.5978e+28  -2.0000e+29  -1.0000e+00   4.1801e+28
                              clhcalipso       1304  -1.9124e+28  -2.0000e+29  -1.0000e+00   3.9008e+28
                              cltcalipso       1304  -2.5467e+28  -2.0000e+29  -1.0000e+00   4.0686e+28
                         lidarBetaMol532      70416         -inf  -1.1963e+37  -6.5323e+35 --
                         clopaquecalipso       1304  -3.1262e+28  -2.0000e+29  -1.0000e+00   5.2944e+28
                           clthincalipso       1304  -2.9900e+28  -2.0000e+29  -1.0000e+00   5.3270e+28
                        clzopaquecalipso        860  -1.1145e+27  -4.1667e+27  -6.6138e+25   1.3589e+27
                         clcalipsoopaque      50747  -6.6322e+27  -2.0000e+29  -1.0000e+00   2.8658e+28
                           clcalipsothin      50747  -4.2686e+27  -2.0000e+29  -1.0000e+00   2.3118e+28
                        clcalipsozopaque      51684  -3.2605e+27  -2.0000e+29  -1.0000e+00   2.2111e+28
                        clcalipsoopacity      51684  -7.8565e+27  -2.0000e+29  -1.0000e+00   3.0720e+28
                            clopaquetemp        860  -3.9539e+27  -5.3354e+27  -3.3614e+27   4.4170e+26
                              clthintemp        645  -4.1688e+27  -5.4245e+27  -3.3701e+27   4.7890e+26
                           clzopaquetemp        860  -3.8166e+27  -5.2073e+27  -3.3328e+27   3.7598e+26
                           clopaquemeanz        860  -5.3839e+26  -2.0833e+27  -6.0386e+25   5.6973e+26
                             clthinmeanz        645  -5.7012e+26  -4.1667e+27  -5.2743e+25   9.0603e+26
                              clthinemis        564  -7.0656e+30  -8.2480e+31  -1.4513e+30   9.9703e+30
                         clopaquemeanzse        860  -5.3839e+26  -2.0833e+27  -6.0386e+25   5.6973e+26
                           clthinmeanzse        645  -5.7012e+26  -4.1667e+27  -5.2743e+25   9.0603e+26
                      clzopaquecalipsose        860  -1.1145e+27  -4.1667e+27  -6.6138e+25   1.3589e+27
                                cllatlid       1242  -3.0555e+28  -2.0000e+29  -1.0000e+00   5.0023e+28
                                clmatlid       1276  -1.6588e+28  -2.0000e+29  -1.0000e+00   4.3877e+28
                                clhatlid       1290  -1.9149e+28  -2.0000e+29  -1.0000e+00   3.9380e+28
                                cltatlid       1290  -2.5114e+28  -2.0000e+29  -1.0000e+00   4.0485e+28
                                 clatlid      50236  -7.1673e+27  -2.0000e+29  -1.0000e+00   2.8617e+28
                         lidarBetaMol355      69660         -inf  -2.3256e+36  -2.8568e+35 --
                          cfadLidarsr355     774000  -3.2134e+29  -2.0000e+31  -1.0000e+00   1.9148e+30
                                  atb355    1393200         -inf  -3.4028e+38  -1.0000e+00 --
                         parasolPix_refl     129000  -1.3121e+31  -3.3333e+31  -1.0000e+30   1.1578e+31
                        parasolGrid_refl       5195  -6.7135e+30  -3.3333e+31  -1.0000e+00   8.1009e+30
                                  dbze94     308852   1.8387e+28  -1.1742e+33   2.8926e+33   9.1207e+30
                              cfadDbze94     784785  -1.7247e+29  -2.0000e+31  -1.0000e+00   1.5492e+30
                         ptcloudsatflag0       1304  -1.3253e+30  -2.0000e+31  -1.0000e+00   2.3187e+30
                         ptcloudsatflag1       1304  -5.5041e+29  -2.0000e+31  -1.0000e+00   3.1585e+30
